,id,building_type,building_subtype,price,living_area,frontages,bedrooms,bathrooms,liv_room_surf,kitchen_type,showers,toilets,basement,terrace,garden,elevator,swimming_pool,status_build,furnished,energy_class,heating,flood_zone,surroundings,zipcode,municipality,province
4324,10447788,house,house,239000.0,158.0,,4.0,,,1.0,,1.0,1.0,0,25,,,2.0,0.0,3,Gas,Non flood zone,,8530,Harelbeke,West Flanders
4325,10438424,apartment,duplex,196000.0,92.0,4.0,2.0,1.0,,3.0,,1.0,,8,0,,,3.0,,5,Fuel oil,Non flood zone,"Living area (residential, urban or rural)",2440,Geel,Antwerp
4326,10365020,apartment,apartment,269000.0,70.0,2.0,1.0,1.0,27.0,,1.0,1.0,,0,0,1.0,0.0,2.0,,2,,,Urban,1000,Bruxelles,Brussels Capital Region
4327,10484625,house,house,150000.0,165.0,,1.0,,,2.0,1.0,1.0,,0,0,,,2.0,,3,Gas,,,7130,Bray,Hainaut
4328,10451175,apartment,apartment,198000.0,55.0,2.0,2.0,1.0,14.0,3.0,,1.0,,0,0,1.0,,2.0,1.0,2,Electric,Possible flood zone,Urban,1000,Bruxelles,Brussels Capital Region
4329,10549074,house,house,80000.0,,2.0,2.0,1.0,,,,,1.0,0,500,0.0,0.0,,,1,Gas,,,7340,Wasmes,Hainaut
4330,10597591,apartment,apartment,229000.0,90.0,2.0,2.0,1.0,,1.0,,1.0,1.0,0,0,1.0,0.0,2.0,0.0,6,Gas,Non flood zone,,8370,Uitkerke,West Flanders
4331,10540683,house,house,99000.0,,,2.0,,,,,,,0,0,,,1.0,0.0,1,,,,8370,Uitkerke,West Flanders
4332,10555484,apartment,apartment,199000.0,74.0,3.0,2.0,,32.0,1.0,1.0,2.0,,0,0,,,2.0,0.0,6,Pellet,,"Living area (residential, urban or rural)",4020,Wandre,Liège
4333,10498887,apartment,penthouse,199000.0,95.0,2.0,3.0,1.0,,1.0,,1.0,,8,0,1.0,,2.0,,1,Gas,,Urban,4000,Rocourt,Liège
4334,10460666,apartment,duplex,259000.0,119.0,,2.0,1.0,48.0,,,2.0,,6,0,1.0,,2.0,,6,Gas,,Urban,3300,Vissenaken,Flemish Brabant
4335,10439613,apartment,apartment,198000.0,74.0,2.0,2.0,1.0,16.0,3.0,,1.0,,0,0,0.0,,2.0,0.0,3,Gas,,Urban,1080,Molenbeek-Saint-Jean,Brussels Capital Region
4336,10584509,apartment,apartment,230000.0,130.0,2.0,2.0,1.0,27.0,,,1.0,,0,0,,,,,6,Gas,,,4430,Ans,Liège
4337,10489858,house,house,,502.0,,1.0,,,,,,,0,0,,,,,1,,,,6000,Charleroi,Hainaut
4338,10362650,apartment,apartment,215000.0,42.0,,1.0,1.0,20.0,,1.0,1.0,,0,0,,,,,1,Electric,,,1050,Ixelles,Brussels Capital Region
4339,10546933,apartment,apartment,219000.0,61.0,,2.0,1.0,,,,1.0,,0,0,0.0,0.0,3.0,,6,,Non flood zone,,8770,Ingelmunster,West Flanders
4340,10466799,apartment,apartment,199000.0,100.0,2.0,2.0,1.0,32.0,1.0,,1.0,,14,0,1.0,0.0,0.0,,6,Gas,,,2170,Merksem,Antwerp
4341,10560546,apartment,flat-studio,169000.0,47.0,2.0,,1.0,,1.0,,1.0,,0,0,1.0,0.0,2.0,1.0,2,Gas,Non flood zone,Urban,8370,Uitkerke,West Flanders
